Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-10-24,Winnipeg Jets,2,Nashville Predators,3,OT,
2013-10-24,New York Rangers,1,Philadelphia Flyers,2,,
2013-10-24,Chicago Blackhawks,5,Tampa Bay Lightning,6,OT,
2013-10-25,Toronto Maple Leafs,2,Columbus Blue Jackets,5,,
2013-10-25,Carolina Hurricanes,2,Colorado Avalanche,4,,
2013-10-25,Buffalo Sabres,3,Florida Panthers,1,,
2013-10-25,Anaheim Ducks,2,Ottawa Senators,1,,
2013-10-25,New York Islanders,4,Pittsburgh Penguins,3,,
2013-10-25,Vancouver Canucks,3,St. Louis Blues,2,OT,
2013-10-26,New Jersey Devils,4,Boston Bruins,3,,
2013-10-26,Washington Capitals,2,Calgary Flames,5,,
2013-10-26,Minnesota Wild,5,Chicago Blackhawks,3,,
2013-10-26,Winnipeg Jets,2,Dallas Stars,1,SO,
2013-10-26,New York Rangers,3,Detroit Red Wings,2,OT,
2013-10-26,San Jose Sharks,2,Montreal Canadiens,0,,
2013-10-26,St. Louis Blues,6,Nashville Predators,1,,
2013-10-26,Philadelphia Flyers,5,New York Islanders,2,,
2013-10-26,Edmonton Oilers,4,Phoenix Coyotes,5,,
2013-10-26,Buffalo Sabres,2,Tampa Bay Lightning,3,,
2013-10-26,Pittsburgh Penguins,1,Toronto Maple Leafs,4,,
2013-10-27,Anaheim Ducks,4,Columbus Blue Jackets,3,,
2013-10-27,Winnipeg Jets,2,Colorado Avalanche,3,,
2013-10-27,Tampa Bay Lightning,4,Florida Panthers,3,SO,
2013-10-27,Edmonton Oilers,1,Los Angeles Kings,2,SO,
2013-10-27,San Jose Sharks,5,Ottawa Senators,2,,
2013-10-28,Dallas Stars,4,Buffalo Sabres,3,,
2013-10-28,Pittsburgh Penguins,3,Carolina Hurricanes,1,,
2013-10-28,Chicago Blackhawks,5,Minnesota Wild,1,,
2013-10-28,Montreal Canadiens,2,New York Rangers,0,,
2013-10-28,Washington Capitals,2,Vancouver Canucks,3,,
2013-10-29,Ottawa Senators,5,Chicago Blackhawks,6,,
2013-10-29,Toronto Maple Leafs,4,Edmonton Oilers,0,,
2013-10-29,Dallas Stars,1,Montreal Canadiens,2,,
2013-10-29,Tampa Bay Lightning,1,New Jersey Devils,2,,
2013-10-29,New York Rangers,3,New York Islanders,2,,
2013-10-29,Anaheim Ducks,3,Philadelphia Flyers,2,,
2013-10-29,Los Angeles Kings,1,Phoenix Coyotes,3,,
2013-10-29,Winnipeg Jets,2,St. Louis Blues,3,,
2013-10-30,Toronto Maple Leafs,4,Calgary Flames,2,,
2013-10-30,San Jose Sharks,3,Los Angeles Kings,4,OT,
2013-10-30,Boston Bruins,2,Pittsburgh Penguins,3,,
2013-10-30,Detroit Red Wings,2,Vancouver Canucks,1,,
2013-10-31,Anaheim Ducks,2,Boston Bruins,3,SO,
2013-10-31,Buffalo Sabres,0,New York Rangers,2,,
2013-10-31,Nashville Predators,4,Phoenix Coyotes,5,SO,
2013-11-01,Tampa Bay Lightning,3,Carolina Hurricanes,0,,
2013-11-01,Detroit Red Wings,4,Calgary Flames,3,,
2013-11-01,Colorado Avalanche,3,Dallas Stars,2,OT,
2013-11-01,St. Louis Blues,4,Florida Panthers,0,,
2013-11-01,Montreal Canadiens,3,Minnesota Wild,4,,
2013-11-01,New York Islanders,5,Ottawa Senators,4,SO,
2013-11-01,Washington Capitals,7,Philadelphia Flyers,0,,
2013-11-01,Columbus Blue Jackets,2,Pittsburgh Penguins,4,,
2013-11-02,Anaheim Ducks,6,Buffalo Sabres,3,,
2013-11-02,Pittsburgh Penguins,3,Columbus Blue Jackets,0,,
2013-11-02,Montreal Canadiens,1,Colorado Avalanche,4,,
2013-11-02,Detroit Red Wings,5,Edmonton Oilers,0,,
2013-11-02,Nashville Predators,4,Los Angeles Kings,3,,
2013-11-02,Philadelphia Flyers,1,New Jersey Devils,0,,
2013-11-02,Boston Bruins,1,New York Islanders,3,,
2013-11-02,Carolina Hurricanes,1,New York Rangers,5,,
2013-11-02,Phoenix Coyotes,3,San Jose Sharks,2,SO,
2013-11-02,St. Louis Blues,2,Tampa Bay Lightning,4,,
2013-11-02,Toronto Maple Leafs,0,Vancouver Canucks,4,,
2013-11-02,Chicago Blackhawks,5,Winnipeg Jets,1,,
2013-11-02,Florida Panthers,2,Washington Capitals,3,SO,
2013-11-03,Calgary Flames,3,Chicago Blackhawks,2,OT,
2013-11-03,New Jersey Devils,0,Minnesota Wild,4,,
2013-11-03,Dallas Stars,4,Ottawa Senators,3,SO,
2013-11-04,Anaheim Ducks,2,New York Rangers,1,,
2013-11-04,Detroit Red Wings,2,Winnipeg Jets,4,,
2013-11-05,Dallas Stars,3,Boston Bruins,2,SO,
2013-11-05,Philadelphia Flyers,1,Carolina Hurricanes,2,OT,
2013-11-05,Ottawa Senators,4,Columbus Blue Jackets,1,,
2013-11-05,Edmonton Oilers,4,Florida Panthers,3,OT,
2013-11-05,Calgary Flames,1,Minnesota Wild,5,,
2013-11-05,St. Louis Blues,3,Montreal Canadiens,2,SO,
2013-11-05,Vancouver Canucks,2,Phoenix Coyotes,3,SO,
2013-11-05,Buffalo Sabres,5,San Jose Sharks,4,SO,
2013-11-05,New York Islanders,2,Washington Capitals,6,,
2013-11-06,Phoenix Coyotes,2,Anaheim Ducks,5,,
2013-11-06,Winnipeg Jets,1,Chicago Blackhawks,4,,
2013-11-06,Nashville Predators,6,Colorado Avalanche,4,,
2013-11-06,Pittsburgh Penguins,1,New York Rangers,5,,
2013-11-07,Florida Panthers,1,Boston Bruins,4,,
2013-11-07,New York Islanders,0,Carolina Hurricanes,1,,
2013-11-07,New York Rangers,4,Columbus Blue Jackets,2,,
2013-11-07,Dallas Stars,4,Detroit Red Wings,3,OT,
2013-11-07,Buffalo Sabres,0,Los Angeles Kings,2,,
2013-11-07,Montreal Canadiens,1,Ottawa Senators,4,,
2013-11-07,New Jersey Devils,3,Philadelphia Flyers,0,,
2013-11-07,Vancouver Canucks,4,San Jose Sharks,2,,
2013-11-07,Calgary Flames,2,St. Louis Blues,3,,
2013-11-07,Edmonton Oilers,2,Tampa Bay Lightning,4,,
2013-11-07,Minnesota Wild,2,Washington Capitals,3,SO,
2013-11-08,Buffalo Sabres,2,Anaheim Ducks,6,,
2013-11-08,Calgary Flames,2,Colorado Avalanche,4,,
2013-11-08,New Jersey Devils,1,Toronto Maple Leafs,2,SO,
2013-11-08,Nashville Predators,0,Winnipeg Jets,5,,
2013-11-09,Toronto Maple Leafs,1,Boston Bruins,3,,
2013-11-09,Minnesota Wild,3,Carolina Hurricanes,2,SO,
2013-11-09,New York Islanders,2,Columbus Blue Jackets,5,,
2013-11-09,Chicago Blackhawks,5,Dallas Stars,2,,
2013-11-09,Tampa Bay Lightning,3,Detroit Red Wings,2,OT,
2013-11-09,Vancouver Canucks,1,Los Angeles Kings,5,,
2013-11-09,Florida Panthers,2,Ottawa Senators,3,,
2013-11-09,Edmonton Oilers,2,Philadelphia Flyers,4,,
2013-11-09,Washington Capitals,3,Phoenix Coyotes,4,SO,
2013-11-09,Pittsburgh Penguins,1,St. Louis Blues,2,,
2013-11-10,Vancouver Canucks,1,Anaheim Ducks,3,,
2013-11-10,Edmonton Oilers,4,Chicago Blackhawks,5,,
2013-11-10,Washington Capitals,1,Colorado Avalanche,4,,
2013-11-10,New York Islanders,2,Montreal Canadiens,4,,
2013-11-10,Nashville Predators,0,New Jersey Devils,5,,
2013-11-10,Florida Panthers,3,New York Rangers,4,,
2013-11-10,San Jose Sharks,4,Winnipeg Jets,5,SO,
2013-11-11,Tampa Bay Lightning,0,Boston Bruins,3,,
2013-11-12,Los Angeles Kings,2,Buffalo Sabres,3,SO,
2013-11-12,Colorado Avalanche,1,Carolina Hurricanes,2,,
2013-11-12,San Jose Sharks,3,Calgary Flames,2,OT,
2013-11-12,Winnipeg Jets,3,Detroit Red Wings,2,SO,
2013-11-12,Anaheim Ducks,2,Florida Panthers,3,,
2013-11-12,Tampa Bay Lightning,2,Montreal Canadiens,1,SO,
2013-11-12,Nashville Predators,1,New York Islanders,3,,
2013-11-12,New Jersey Devils,3,New York Rangers,2,,
2013-11-12,Philadelphia Flyers,5,Ottawa Senators,0,,
2013-11-12,Phoenix Coyotes,3,St. Louis Blues,2,OT,
2013-11-12,Columbus Blue Jackets,3,Washington Capitals,4,OT,
2013-11-13,Dallas Stars,3,Edmonton Oilers,0,,
2013-11-13,Toronto Maple Leafs,1,Minnesota Wild,2,SO,
2013-11-13,Philadelphia Flyers,2,Pittsburgh Penguins,1,,
2013-11-14,Columbus Blue Jackets,2,Boston Bruins,3,OT,
2013-11-14,Dallas Stars,7,Calgary Flames,3,,
2013-11-14,Phoenix Coyotes,4,Chicago Blackhawks,5,SO,
2013-11-14,Los Angeles Kings,3,New York Islanders,2,,
2013-11-14,Colorado Avalanche,3,St. Louis Blues,7,,
2013-11-14,Anaheim Ducks,1,Tampa Bay Lightning,5,,
2013-11-14,San Jose Sharks,2,Vancouver Canucks,1,OT,
2013-11-15,Toronto Maple Leafs,1,Buffalo Sabres,3,,
2013-11-15,Anaheim Ducks,2,Carolina Hurricanes,3,SO,
2013-11-15,Montreal Canadiens,3,Columbus Blue Jackets,2,SO,
2013-11-15,Washington Capitals,4,Detroit Red Wings,3,SO,
2013-11-15,San Jose Sharks,3,Edmonton Oilers,1,,
2013-11-15,Florida Panthers,2,Minnesota Wild,3,,
2013-11-15,Los Angeles Kings,2,New Jersey Devils,0,,
2013-11-15,Boston Bruins,2,Ottawa Senators,4,,
2013-11-15,Nashville Predators,1,Pittsburgh Penguins,4,,
2013-11-15,Philadelphia Flyers,2,Winnipeg Jets,3,SO,
2013-11-16,Edmonton Oilers,4,Calgary Flames,2,,
2013-11-16,Florida Panthers,4,Colorado Avalanche,1,,
2013-11-16,New York Rangers,1,Montreal Canadiens,0,,
2013-11-16,Pittsburgh Penguins,1,New Jersey Devils,4,,
2013-11-16,Chicago Blackhawks,2,Nashville Predators,7,,
2013-11-16,Detroit Red Wings,4,New York Islanders,5,SO,
2013-11-16,Tampa Bay Lightning,3,Phoenix Coyotes,6,,
2013-11-16,Carolina Hurricanes,2,St. Louis Blues,4,,
2013-11-16,Buffalo Sabres,2,Toronto Maple Leafs,4,,
2013-11-17,San Jose Sharks,1,Chicago Blackhawks,5,,
2013-11-17,Winnipeg Jets,1,Minnesota Wild,2,,
2013-11-17,Los Angeles Kings,1,New York Rangers,0,,
2013-11-17,Columbus Blue Jackets,4,Ottawa Senators,1,,
2013-11-17,Dallas Stars,2,Vancouver Canucks,1,,
2013-11-17,St. Louis Blues,1,Washington Capitals,4,,
2013-11-18,Boston Bruins,4,Carolina Hurricanes,1,,
2013-11-18,Anaheim Ducks,1,Pittsburgh Penguins,3,,
2013-11-18,Calgary Flames,5,Winnipeg Jets,4,SO,
2013-11-19,St. Louis Blues,4,Buffalo Sabres,1,,
2013-11-19,Chicago Blackhawks,1,Colorado Avalanche,5,,
2013-11-19,Nashville Predators,2,Detroit Red Wings,0,,
2013-11-19,Columbus Blue Jackets,0,Edmonton Oilers,7,,
