Source: http://www.hockey-reference.com/leagues/NHL_2012_games.html
Date,Visitor,G,Home,G,,Notes
2011-12-10,Winnipeg Jets,1,Detroit Red Wings,7,,
2011-12-10,Dallas Stars,2,Los Angeles Kings,1,,
2011-12-10,Montreal Canadiens,2,New Jersey Devils,1,,
2011-12-10,Anaheim Ducks,2,Nashville Predators,3,,
2011-12-10,Pittsburgh Penguins,6,New York Islanders,3,,
2011-12-10,Vancouver Canucks,4,Ottawa Senators,1,,
2011-12-10,Tampa Bay Lightning,2,Philadelphia Flyers,5,,
2011-12-10,Minnesota Wild,4,Phoenix Coyotes,1,,
2011-12-10,San Jose Sharks,0,St. Louis Blues,1,,
2011-12-11,San Jose Sharks,2,Chicago Blackhawks,3,OT,
2011-12-11,Florida Panthers,1,New York Rangers,6,,
2011-12-12,New Jersey Devils,5,Tampa Bay Lightning,4,,
2011-12-13,Los Angeles Kings,0,Boston Bruins,3,,
2011-12-13,Ottawa Senators,3,Buffalo Sabres,2,OT,
2011-12-13,Vancouver Canucks,1,Columbus Blue Jackets,2,SO,
2011-12-13,San Jose Sharks,3,Colorado Avalanche,4,SO,
2011-12-13,New Jersey Devils,3,Florida Panthers,2,SO,
2011-12-13,New York Islanders,3,Montreal Canadiens,5,,
2011-12-13,Calgary Flames,1,Nashville Predators,2,,
2011-12-13,Dallas Stars,1,New York Rangers,0,,
2011-12-13,Detroit Red Wings,4,Pittsburgh Penguins,1,,
2011-12-13,Carolina Hurricanes,1,Toronto Maple Leafs,2,OT,
2011-12-13,Minnesota Wild,1,Winnipeg Jets,2,,
2011-12-13,Philadelphia Flyers,5,Washington Capitals,1,,
2011-12-14,Phoenix Coyotes,1,Anaheim Ducks,4,,
2011-12-14,Chicago Blackhawks,4,Minnesota Wild,3,SO,
2011-12-14,Boston Bruins,5,Ottawa Senators,2,,
2011-12-15,Vancouver Canucks,3,Carolina Hurricanes,4,,
2011-12-15,Los Angeles Kings,2,Columbus Blue Jackets,1,,
2011-12-15,Philadelphia Flyers,4,Montreal Canadiens,3,,
2011-12-15,Detroit Red Wings,3,Nashville Predators,4,,
2011-12-15,Dallas Stars,3,New York Islanders,2,,
2011-12-15,Edmonton Oilers,2,Phoenix Coyotes,4,,
2011-12-15,Colorado Avalanche,4,San Jose Sharks,5,,
2011-12-15,New York Rangers,1,St. Louis Blues,4,,
2011-12-15,Calgary Flames,4,Tampa Bay Lightning,5,OT,
2011-12-15,Washington Capitals,1,Winnipeg Jets,0,,
2011-12-16,Toronto Maple Leafs,4,Buffalo Sabres,5,,
2011-12-16,Anaheim Ducks,1,Chicago Blackhawks,4,,
2011-12-16,Calgary Flames,2,Florida Panthers,3,SO,
2011-12-16,Dallas Stars,3,New Jersey Devils,6,,
2011-12-16,Pittsburgh Penguins,4,Ottawa Senators,6,,
2011-12-17,Tampa Bay Lightning,3,Columbus Blue Jackets,2,,
2011-12-17,Washington Capitals,1,Colorado Avalanche,2,,
2011-12-17,Los Angeles Kings,2,Detroit Red Wings,8,,
2011-12-17,New York Islanders,2,Minnesota Wild,1,SO,
2011-12-17,New Jersey Devils,5,Montreal Canadiens,3,,
2011-12-17,St. Louis Blues,1,Nashville Predators,2,SO,
2011-12-17,Boston Bruins,6,Philadelphia Flyers,0,,
2011-12-17,New York Rangers,3,Phoenix Coyotes,2,,
2011-12-17,Buffalo Sabres,3,Pittsburgh Penguins,8,,
2011-12-17,Edmonton Oilers,2,San Jose Sharks,3,,
2011-12-17,Vancouver Canucks,5,Toronto Maple Leafs,3,,
2011-12-17,Anaheim Ducks,3,Winnipeg Jets,5,,
2011-12-18,Calgary Flames,2,Chicago Blackhawks,4,,
2011-12-18,Carolina Hurricanes,2,Florida Panthers,3,OT,
2011-12-18,Columbus Blue Jackets,4,St. Louis Blues,6,,
2011-12-19,Montreal Canadiens,2,Boston Bruins,3,,
2011-12-19,Philadelphia Flyers,2,Colorado Avalanche,3,SO,
2011-12-19,Anaheim Ducks,3,Dallas Stars,5,,
2011-12-19,Detroit Red Wings,3,Edmonton Oilers,2,,
2011-12-19,Los Angeles Kings,3,Toronto Maple Leafs,2,SO,
2011-12-19,Minnesota Wild,0,Vancouver Canucks,4,,
2011-12-20,Minnesota Wild,1,Calgary Flames,2,,
2011-12-20,Phoenix Coyotes,2,Florida Panthers,1,,
2011-12-20,New York Rangers,4,New Jersey Devils,1,,
2011-12-20,Buffalo Sabres,1,Ottawa Senators,4,,
2011-12-20,Chicago Blackhawks,2,Pittsburgh Penguins,3,,
2011-12-20,New York Islanders,3,Winnipeg Jets,2,SO,
2011-12-20,Nashville Predators,1,Washington Capitals,4,,
2011-12-21,Phoenix Coyotes,4,Carolina Hurricanes,3,,
2011-12-21,Montreal Canadiens,1,Chicago Blackhawks,5,,
2011-12-21,St. Louis Blues,2,Colorado Avalanche,3,,
2011-12-21,Philadelphia Flyers,4,Dallas Stars,1,,
2011-12-21,Tampa Bay Lightning,2,San Jose Sharks,7,,
2011-12-21,Detroit Red Wings,2,Vancouver Canucks,4,,
2011-12-22,Detroit Red Wings,2,Calgary Flames,3,,
2011-12-22,Minnesota Wild,1,Edmonton Oilers,4,,
2011-12-22,Anaheim Ducks,2,Los Angeles Kings,3,SO,
2011-12-22,Columbus Blue Jackets,5,Nashville Predators,6,,
2011-12-22,New York Islanders,2,New York Rangers,4,,
2011-12-22,Florida Panthers,3,Ottawa Senators,4,OT,
2011-12-22,Buffalo Sabres,2,Toronto Maple Leafs,3,,
2011-12-22,Montreal Canadiens,0,Winnipeg Jets,4,,
2011-12-23,Florida Panthers,0,Boston Bruins,8,,
2011-12-23,Ottawa Senators,1,Carolina Hurricanes,2,OT,
2011-12-23,Tampa Bay Lightning,1,Colorado Avalanche,2,OT,
2011-12-23,Nashville Predators,3,Dallas Stars,6,,
2011-12-23,Washington Capitals,3,New Jersey Devils,4,SO,
2011-12-23,Toronto Maple Leafs,5,New York Islanders,3,,
2011-12-23,Philadelphia Flyers,2,New York Rangers,4,,
2011-12-23,St. Louis Blues,3,Phoenix Coyotes,2,,
2011-12-23,Los Angeles Kings,1,San Jose Sharks,2,SO,
2011-12-23,Calgary Flames,3,Vancouver Canucks,1,,
2011-12-23,Pittsburgh Penguins,4,Winnipeg Jets,1,,
2011-12-26,Washington Capitals,2,Buffalo Sabres,4,,
2011-12-26,New Jersey Devils,2,Carolina Hurricanes,4,,
2011-12-26,Columbus Blue Jackets,1,Chicago Blackhawks,4,,
2011-12-26,Phoenix Coyotes,3,Los Angeles Kings,4,,
2011-12-26,Colorado Avalanche,4,Minnesota Wild,2,,
2011-12-26,Detroit Red Wings,4,Nashville Predators,1,,
2011-12-26,New York Islanders,0,New York Rangers,3,,
2011-12-26,Anaheim Ducks,3,San Jose Sharks,2,,
2011-12-26,Dallas Stars,3,St. Louis Blues,5,,
2011-12-26,Edmonton Oilers,3,Vancouver Canucks,5,,
2011-12-27,Calgary Flames,2,Columbus Blue Jackets,1,SO,
2011-12-27,Winnipeg Jets,4,Colorado Avalanche,1,,
2011-12-27,St. Louis Blues,2,Detroit Red Wings,3,,
2011-12-27,Toronto Maple Leafs,3,Florida Panthers,5,,
2011-12-27,Montreal Canadiens,6,Ottawa Senators,2,,
2011-12-27,Carolina Hurricanes,2,Pittsburgh Penguins,4,,
2011-12-27,Philadelphia Flyers,1,Tampa Bay Lightning,5,,
2011-12-28,Los Angeles Kings,2,Chicago Blackhawks,0,,
2011-12-28,Buffalo Sabres,1,New Jersey Devils,3,,
2011-12-28,Minnesota Wild,1,Nashville Predators,2,SO,
2011-12-28,Boston Bruins,2,Phoenix Coyotes,1,OT,
2011-12-28,Vancouver Canucks,3,San Jose Sharks,2,OT,
2011-12-28,New York Rangers,1,Washington Capitals,4,,
2011-12-29,Vancouver Canucks,5,Anaheim Ducks,2,,
2011-12-29,Toronto Maple Leafs,3,Carolina Hurricanes,4,OT,
2011-12-29,Phoenix Coyotes,2,Colorado Avalanche,3,,
2011-12-29,Columbus Blue Jackets,4,Dallas Stars,1,,
2011-12-29,Edmonton Oilers,3,Minnesota Wild,4,,
2011-12-29,Calgary Flames,1,New York Islanders,3,,
2011-12-29,Philadelphia Flyers,4,Pittsburgh Penguins,2,,
2011-12-29,Montreal Canadiens,3,Tampa Bay Lightning,4,,
2011-12-29,Los Angeles Kings,0,Winnipeg Jets,1,OT,
2011-12-30,Detroit Red Wings,2,Chicago Blackhawks,3,,
2011-12-30,New York Rangers,4,Florida Panthers,1,,
2011-12-30,Calgary Flames,3,Ottawa Senators,4,OT,
2011-12-30,Nashville Predators,2,St. Louis Blues,1,SO,
2011-12-30,Buffalo Sabres,1,Washington Capitals,3,,
2011-12-31,Colorado Avalanche,4,Anaheim Ducks,2,,
2011-12-31,Ottawa Senators,3,Buffalo Sabres,2,SO,
2011-12-31,Washington Capitals,4,Columbus Blue Jackets,2,,
2011-12-31,Boston Bruins,2,Dallas Stars,4,,
2011-12-31,St. Louis Blues,0,Detroit Red Wings,3,,
2011-12-31,Montreal Canadiens,2,Florida Panthers,3,,
2011-12-31,Vancouver Canucks,1,Los Angeles Kings,4,,
2011-12-31,Phoenix Coyotes,4,Minnesota Wild,2,,
2011-12-31,Pittsburgh Penguins,1,New Jersey Devils,3,,
2011-12-31,Edmonton Oilers,1,New York Islanders,4,,
2011-12-31,Carolina Hurricanes,2,Tampa Bay Lightning,5,,
2011-12-31,Toronto Maple Leafs,2,Winnipeg Jets,3,,
2012-01-01,Calgary Flames,3,Nashville Predators,5,,
2012-01-02,Edmonton Oilers,4,Chicago Blackhawks,3,,
2012-01-02,Colorado Avalanche,2,Los Angeles Kings,1,SO,
2012-01-02,New Jersey Devils,2,Ottawa Senators,3,OT,
2012-01-02,New York Rangers,3,Philadelphia Flyers,2,,NHL Winter Classic
2012-01-02,San Jose Sharks,3,Vancouver Canucks,2,SO,
2012-01-03,Edmonton Oilers,3,Buffalo Sabres,4,,
2012-01-03,New York Islanders,4,Carolina Hurricanes,3,SO,
2012-01-03,Detroit Red Wings,5,Dallas Stars,4,,
2012-01-03,Phoenix Coyotes,1,St. Louis Blues,4,,
2012-01-03,Tampa Bay Lightning,3,Toronto Maple Leafs,7,,
2012-01-03,Calgary Flames,1,Washington Capitals,3,,
2012-01-04,San Jose Sharks,3,Anaheim Ducks,1,,
2012-01-04,Winnipeg Jets,3,Montreal Canadiens,7,,
2012-01-04,Boston Bruins,6,New Jersey Devils,1,,
2012-01-04,Minnesota Wild,0,Vancouver Canucks,3,,
2012-01-05,Calgary Flames,0,Boston Bruins,9,,
2012-01-05,Phoenix Coyotes,0,Los Angeles Kings,1,OT,
2012-01-05,Dallas Stars,4,Nashville Predators,1,,
2012-01-05,Florida Panthers,2,New York Rangers,3,OT,
2012-01-05,Tampa Bay Lightning,1,Ottawa Senators,4,,
2012-01-05,Chicago Blackhawks,4,Philadelphia Flyers,5,,
2012-01-05,Columbus Blue Jackets,1,San Jose Sharks,2,,
2012-01-05,Edmonton Oilers,3,St. Louis Blues,4,,
2012-01-05,Winnipeg Jets,0,Toronto Maple Leafs,4,,
2012-01-06,New York Islanders,2,Anaheim Ducks,4,,
2012-01-06,Buffalo Sabres,2,Carolina Hurricanes,4,,
2012-01-06,Colorado Avalanche,4,Chicago Blackhawks,0,,
2012-01-06,Florida Panthers,2,New Jersey Devils,5,,
2012-01-06,New York Rangers,3,Pittsburgh Penguins,1,,
2012-01-07,Vancouver Canucks,4,Boston Bruins,3,,
2012-01-07,Winnipeg Jets,2,Buffalo Sabres,1,OT,
2012-01-07,Minnesota Wild,1,Calgary Flames,3,,
2012-01-07,Edmonton Oilers,1,Dallas Stars,4,,
2012-01-07,Columbus Blue Jackets,1,Los Angeles Kings,0,,
2012-01-07,Tampa Bay Lightning,1,Montreal Canadiens,3,,
2012-01-07,Carolina Hurricanes,2,Nashville Predators,5,,
2012-01-07,Ottawa Senators,2,Philadelphia Flyers,3,OT,
2012-01-07,New York Islanders,1,Phoenix Coyotes,5,,
2012-01-07,New Jersey Devils,3,Pittsburgh Penguins,1,,
2012-01-07,Washington Capitals,2,San Jose Sharks,5,,
2012-01-07,Colorado Avalanche,0,St. Louis Blues,4,,
2012-01-07,Detroit Red Wings,3,Toronto Maple Leafs,4,,
2012-01-08,Columbus Blue Jackets,4,Anaheim Ducks,7,,
2012-01-08,Detroit Red Wings,3,Chicago Blackhawks,2,OT,
2012-01-08,Philadelphia Flyers,4,Ottawa Senators,6,,
2012-01-09,Vancouver Canucks,1,Florida Panthers,2,,
2012-01-09,Washington Capitals,2,Los Angeles Kings,5,,
2012-01-10,Dallas Stars,2,Anaheim Ducks,5,,
2012-01-10,Winnipeg Jets,3,Boston Bruins,5,,
2012-01-10,Philadelphia Flyers,2,Carolina Hurricanes,1,,
2012-01-10,New Jersey Devils,3,Calgary Flames,6,,
2012-01-10,Columbus Blue Jackets,2,Chicago Blackhawks,5,,
2012-01-10,Nashville Predators,4,Colorado Avalanche,1,,
2012-01-10,San Jose Sharks,4,Minnesota Wild,5,SO,
2012-01-10,St. Louis Blues,3,Montreal Canadiens,0,,
2012-01-10,Detroit Red Wings,1,New York Islanders,5,,
2012-01-10,Phoenix Coyotes,1,New York Rangers,2,SO,
2012-01-10,Ottawa Senators,5,Pittsburgh Penguins,1,,
2012-01-10,Vancouver Canucks,5,Tampa Bay Lightning,4,SO,
2012-01-10,Buffalo Sabres,0,Toronto Maple Leafs,2,,
2012-01-11,New Jersey Devils,2,Edmonton Oilers,1,OT,
2012-01-11,Pittsburgh Penguins,0,Washington Capitals,1,,
2012-01-12,Montreal Canadiens,1,Boston Bruins,2,,
2012-01-12,Anaheim Ducks,0,Calgary Flames,1,OT,
2012-01-12,Minnesota Wild,2,Chicago Blackhawks,5,,
2012-01-12,Phoenix Coyotes,2,Detroit Red Wings,3,SO,
2012-01-12,Dallas Stars,5,Los Angeles Kings,4,SO,
2012-01-12,Colorado Avalanche,2,Nashville Predators,3,OT,
2012-01-12,Philadelphia Flyers,3,New York Islanders,2,,
2012-01-12,Ottawa Senators,3,New York Rangers,0,,
2012-01-12,Vancouver Canucks,3,St. Louis Blues,2,OT,
2012-01-12,Carolina Hurricanes,5,Tampa Bay Lightning,2,,
2012-01-12,San Jose Sharks,2,Winnipeg Jets,0,,
2012-01-13,Toronto Maple Leafs,2,Buffalo Sabres,3,,
2012-01-13,Phoenix Coyotes,3,Columbus Blue Jackets,4,,
2012-01-13,Anaheim Ducks,5,Edmonton Oilers,0,,
2012-01-13,Pittsburgh Penguins,4,Florida Panthers,1,,
2012-01-13,Tampa Bay Lightning,3,Washington Capitals,4,,
2012-01-14,Boston Bruins,2,Carolina Hurricanes,4,,
2012-01-14,San Jose Sharks,2,Columbus Blue Jackets,1,,
2012-01-14,Los Angeles Kings,4,Calgary Flames,1,,
2012-01-14,Colorado Avalanche,2,Dallas Stars,1,,
2012-01-14,Chicago Blackhawks,2,Detroit Red Wings,3,OT,
2012-01-14,Ottawa Senators,3,Montreal Canadiens,2,SO,
2012-01-14,Philadelphia Flyers,2,Nashville Predators,4,,
2012-01-14,Buffalo Sabres,2,New York Islanders,4,,
2012-01-14,Minnesota Wild,2,St. Louis Blues,3,SO,
2012-01-14,New York Rangers,3,Toronto Maple Leafs,0,,
2012-01-14,New Jersey Devils,2,Winnipeg Jets,1,,
2012-01-15,San Jose Sharks,3,Chicago Blackhawks,4,,
2012-01-15,Los Angeles Kings,1,Edmonton Oilers,2,OT,
2012-01-15,New York Rangers,1,Montreal Canadiens,4,,
2012-01-15,Pittsburgh Penguins,6,Tampa Bay Lightning,3,,
2012-01-15,Anaheim Ducks,4,Vancouver Canucks,2,,
2012-01-15,Carolina Hurricanes,1,Washington Capitals,2,,
2012-01-16,Buffalo Sabres,0,Detroit Red Wings,5,,
2012-01-16,Boston Bruins,3,Florida Panthers,2,SO,
2012-01-16,Nashville Predators,3,New York Islanders,1,,
2012-01-16,Winnipeg Jets,2,Ottawa Senators,0,,
2012-01-16,Colorado Avalanche,1,Phoenix Coyotes,6,,
2012-01-16,Dallas Stars,0,St. Louis Blues,1,,
2012-01-17,Edmonton Oilers,2,Columbus Blue Jackets,4,,
2012-01-17,Detroit Red Wings,3,Dallas Stars,2,SO,
2012-01-17,Winnipeg Jets,1,New Jersey Devils,5,,
2012-01-17,Nashville Predators,0,New York Rangers,3,,
2012-01-17,Minnesota Wild,1,Philadelphia Flyers,5,,
2012-01-17,Carolina Hurricanes,1,Pittsburgh Penguins,2,SO,
2012-01-17,Calgary Flames,1,San Jose Sharks,2,SO,
2012-01-17,Boston Bruins,3,Tampa Bay Lightning,5,,
2012-01-17,Ottawa Senators,3,Toronto Maple Leafs,2,,
2012-01-17,Los Angeles Kings,3,Vancouver Canucks,2,SO,
2012-01-17,New York Islanders,3,Washington Capitals,0,,
2012-01-18,Phoenix Coyotes,2,Anaheim Ducks,6,,
2012-01-18,Buffalo Sabres,2,Chicago Blackhawks,6,,
2012-01-18,Florida Panthers,3,Colorado Avalanche,4,OT,
2012-01-18,Washington Capitals,3,Montreal Canadiens,0,,
2012-01-19,Nashville Predators,3,Columbus Blue Jackets,0,,
2012-01-19,Calgary Flames,2,Los Angeles Kings,1,SO,
2012-01-19,Boston Bruins,4,New Jersey Devils,1,,
2012-01-19,Pittsburgh Penguins,4,New York Rangers,1,,
2012-01-19,New York Islanders,4,Philadelphia Flyers,1,,
2012-01-19,Detroit Red Wings,3,Phoenix Coyotes,2,SO,
2012-01-19,Ottawa Senators,4,San Jose Sharks,1,,
2012-01-19,Edmonton Oilers,0,St. Louis Blues,1,,
2012-01-19,Minnesota Wild,1,Toronto Maple Leafs,4,,
2012-01-19,Buffalo Sabres,1,Winnipeg Jets,4,,
2012-01-20,Washington Capitals,0,Carolina Hurricanes,3,,
2012-01-20,Florida Panthers,1,Chicago Blackhawks,3,,
2012-01-20,Tampa Bay Lightning,2,Dallas Stars,1,,
2012-01-20,Montreal Canadiens,4,Pittsburgh Penguins,5,SO,
2012-01-21,Ottawa Senators,1,Anaheim Ducks,2,,
2012-01-21,New York Rangers,3,Boston Bruins,2,OT,
2012-01-21,Columbus Blue Jackets,2,Detroit Red Wings,3,SO,
2012-01-21,Calgary Flames,6,Edmonton Oilers,2,,
2012-01-21,Colorado Avalanche,3,Los Angeles Kings,1,,
2012-01-21,Dallas Stars,2,Minnesota Wild,5,,
2012-01-21,Philadelphia Flyers,4,New Jersey Devils,1,,
2012-01-21,Chicago Blackhawks,2,Nashville Predators,5,,
2012-01-21,Carolina Hurricanes,1,New York Islanders,2,OT,
2012-01-21,Tampa Bay Lightning,4,Phoenix Coyotes,3,,
2012-01-21,Buffalo Sabres,2,St. Louis Blues,4,,
2012-01-21,Montreal Canadiens,3,Toronto Maple Leafs,1,,
2012-01-21,San Jose Sharks,3,Vancouver Canucks,4,,
2012-01-21,Florida Panthers,4,Winnipeg Jets,3,SO,
2012-01-22,Colorado Avalanche,2,Anaheim Ducks,3,,
2012-01-22,Boston Bruins,6,Philadelphia Flyers,5,SO,
2012-01-22,Washington Capitals,3,Pittsburgh Penguins,4,OT,
2012-01-23,Winnipeg Jets,1,Carolina Hurricanes,2,,
2012-01-23,St. Louis Blues,1,Detroit Red Wings,3,,
2012-01-23,San Jose Sharks,1,Edmonton Oilers,2,SO,
2012-01-23,Ottawa Senators,1,Los Angeles Kings,4,,
2012-01-23,Columbus Blue Jackets,1,Nashville Predators,4,,
2012-01-23,New York Islanders,0,Toronto Maple Leafs,3,,
2012-01-24,San Jose Sharks,1,Calgary Flames,0,,
2012-01-24,Nashville Predators,3,Chicago Blackhawks,1,,
2012-01-24,Minnesota Wild,3,Colorado Avalanche,2,,
2012-01-24,Anaheim Ducks,0,Dallas Stars,1,,
2012-01-24,Philadelphia Flyers,3,Florida Panthers,2,SO,
2012-01-24,Buffalo Sabres,2,New Jersey Devils,1,SO,
2012-01-24,Toronto Maple Leafs,4,New York Islanders,3,OT,
2012-01-24,Winnipeg Jets,0,New York Rangers,3,,
2012-01-24,Ottawa Senators,2,Phoenix Coyotes,3,,
2012-01-24,Pittsburgh Penguins,3,St. Louis Blues,2,SO,
2012-01-24,Columbus Blue Jackets,2,Tampa Bay Lightning,4,,
2012-01-24,Edmonton Oilers,2,Vancouver Canucks,3,SO,
2012-01-24,Boston Bruins,3,Washington Capitals,5,,
2012-01-25,Detroit Red Wings,2,Montreal Canadiens,7,,
2012-01-31,Ottawa Senators,3,Boston Bruins,4,,
2012-01-31,New York Islanders,5,Carolina Hurricanes,2,,
2012-01-31,Detroit Red Wings,3,Calgary Flames,1,,
2012-01-31,Colorado Avalanche,2,Edmonton Oilers,3,,
2012-01-31,Nashville Predators,5,Minnesota Wild,4,,
2012-01-31,Buffalo Sabres,3,Montreal Canadiens,1,,
2012-01-31,New York Rangers,3,New Jersey Devils,4,SO,
2012-01-31,Winnipeg Jets,2,Philadelphia Flyers,1,SO,
2012-01-31,Anaheim Ducks,4,Phoenix Coyotes,1,,
2012-01-31,Toronto Maple Leafs,4,Pittsburgh Penguins,5,SO,
2012-01-31,Columbus Blue Jackets,0,San Jose Sharks,6,,
2012-01-31,Washington Capitals,3,Tampa Bay Lightning,4,OT,
2012-01-31,Chicago Blackhawks,2,Vancouver Canucks,3,OT,
2012-02-01,Dallas Stars,6,Anaheim Ducks,2,,
2012-02-01,New York Rangers,1,Buffalo Sabres,0,SO,
2012-02-01,Washington Capitals,2,Florida Panthers,4,,
2012-02-01,Columbus Blue Jackets,2,Los Angeles Kings,3,,
2012-02-01,Pittsburgh Penguins,0,Toronto Maple Leafs,1,,
2012-02-02,Carolina Hurricanes,3,Boston Bruins,0,,
2012-02-02,Minnesota Wild,1,Colorado Avalanche,0,,
2012-02-02,Chicago Blackhawks,4,Edmonton Oilers,8,,
2012-02-02,Montreal Canadiens,3,New Jersey Devils,5,,
2012-02-02,Nashville Predators,1,Philadelphia Flyers,4,,
2012-02-02,Dallas Stars,2,San Jose Sharks,5,,
2012-02-02,Winnipeg Jets,2,Tampa Bay Lightning,1,OT,
2012-02-02,Detroit Red Wings,4,Vancouver Canucks,3,SO,
2012-02-03,Columbus Blue Jackets,3,Anaheim Ducks,2,OT,
2012-02-03,Chicago Blackhawks,1,Calgary Flames,3,,
2012-02-03,Winnipeg Jets,1,Florida Panthers,2,,
2012-02-03,New York Islanders,2,Ottawa Senators,1,OT,
2012-02-03,Los Angeles Kings,0,St. Louis Blues,1,,
2012-02-04,Pittsburgh Penguins,2,Boston Bruins,1,,
2012-02-04,Los Angeles Kings,1,Carolina Hurricanes,2,,
2012-02-04,Vancouver Canucks,3,Colorado Avalanche,2,SO,
2012-02-04,Minnesota Wild,1,Dallas Stars,2,SO,
2012-02-04,Detroit Red Wings,4,Edmonton Oilers,5,SO,
2012-02-04,Washington Capitals,3,Montreal Canadiens,0,,
2012-02-04,St. Louis Blues,1,Nashville Predators,3,,
2012-02-04,Buffalo Sabres,4,New York Islanders,3,SO,
2012-02-04,Toronto Maple Leafs,5,Ottawa Senators,0,,
2012-02-04,New Jersey Devils,6,Philadelphia Flyers,4,,
2012-02-04,San Jose Sharks,3,Phoenix Coyotes,5,,
2012-02-04,Florida Panthers,3,Tampa Bay Lightning,6,,
2012-02-05,Winnipeg Jets,0,Montreal Canadiens,3,,
2012-02-05,Pittsburgh Penguins,2,New Jersey Devils,5,,
2012-02-05,Philadelphia Flyers,2,New York Rangers,5,,
2012-02-05,Boston Bruins,4,Washington Capitals,1,,
2012-02-06,Calgary Flames,2,Anaheim Ducks,3,SO,
2012-02-06,Detroit Red Wings,1,Phoenix Coyotes,3,,
2012-02-06,Edmonton Oilers,3,Toronto Maple Leafs,6,,
2012-02-07,Minnesota Wild,1,Columbus Blue Jackets,3,,
2012-02-07,Chicago Blackhawks,2,Colorado Avalanche,5,,
2012-02-07,Phoenix Coyotes,4,Dallas Stars,1,,
2012-02-07,Pittsburgh Penguins,2,Montreal Canadiens,3,SO,
2012-02-07,Vancouver Canucks,4,Nashville Predators,3,SO,
2012-02-07,New Jersey Devils,1,New York Rangers,0,,
2012-02-07,St. Louis Blues,3,Ottawa Senators,1,,
2012-02-07,New York Islanders,1,Philadelphia Flyers,0,SO,
2012-02-07,Los Angeles Kings,3,Tampa Bay Lightning,1,,
2012-02-07,Toronto Maple Leafs,1,Winnipeg Jets,2,,
2012-02-07,Florida Panthers,0,Washington Capitals,4,,
2012-02-08,Carolina Hurricanes,2,Anaheim Ducks,3,OT,
2012-02-08,Boston Bruins,0,Buffalo Sabres,6,,
2012-02-08,Edmonton Oilers,2,Detroit Red Wings,4,,
2012-02-08,Calgary Flames,4,San Jose Sharks,3,,
2012-02-09,Dallas Stars,4,Columbus Blue Jackets,2,,
2012-02-09,Los Angeles Kings,1,Florida Panthers,3,,
2012-02-09,Vancouver Canucks,5,Minnesota Wild,2,,
2012-02-09,St. Louis Blues,4,New Jersey Devils,3,SO,
2012-02-09,Montreal Canadiens,4,New York Islanders,2,,
2012-02-09,Tampa Bay Lightning,3,New York Rangers,4,OT,
2012-02-09,Nashville Predators,3,Ottawa Senators,4,,
2012-02-09,Toronto Maple Leafs,3,Philadelphia Flyers,4,,
2012-02-09,Calgary Flames,1,Phoenix Coyotes,2,OT,
2012-02-09,Winnipeg Jets,3,Washington Capitals,2,SO,
2012-02-10,Dallas Stars,2,Buffalo Sabres,3,SO,
2012-02-10,Carolina Hurricanes,3,Colorado Avalanche,4,OT,
2012-02-10,Anaheim Ducks,1,Detroit Red Wings,2,SO,
2012-02-10,Chicago Blackhawks,3,San Jose Sharks,5,,
2012-02-11,Nashville Predators,3,Boston Bruins,4,SO,
2012-02-11,Tampa Bay Lightning,2,Buffalo Sabres,1,,
2012-02-11,Vancouver Canucks,2,Calgary Flames,3,SO,
2012-02-11,Columbus Blue Jackets,3,Minnesota Wild,1,,
2012-02-11,Florida Panthers,3,New Jersey Devils,1,,
2012-02-11,Los Angeles Kings,1,New York Islanders,2,OT,
2012-02-11,Edmonton Oilers,4,Ottawa Senators,3,OT,
2012-02-11,New York Rangers,5,Philadelphia Flyers,2,,
2012-02-11,Chicago Blackhawks,0,Phoenix Coyotes,3,,
2012-02-11,Winnipeg Jets,5,Pittsburgh Penguins,8,,
2012-02-11,Colorado Avalanche,2,St. Louis Blues,3,OT,
2012-02-11,Montreal Canadiens,5,Toronto Maple Leafs,0,,
2012-02-12,Anaheim Ducks,5,Columbus Blue Jackets,3,,
2012-02-12,Los Angeles Kings,4,Dallas Stars,2,,
2012-02-12,Philadelphia Flyers,3,Detroit Red Wings,4,,
2012-02-12,Florida Panthers,4,New York Islanders,1,,
2012-02-12,Washington Capitals,2,New York Rangers,3,,
2012-02-12,Tampa Bay Lightning,2,Pittsburgh Penguins,4,,
2012-02-12,San Jose Sharks,0,St. Louis Blues,3,,
2012-02-13,Carolina Hurricanes,5,Montreal Canadiens,3,,
2012-02-13,Phoenix Coyotes,1,Vancouver Canucks,2,SO,
2012-02-13,San Jose Sharks,5,Washington Capitals,3,,
2012-02-14,New York Rangers,3,Boston Bruins,0,,
2012-02-14,New Jersey Devils,4,Buffalo Sabres,1,,
2012-02-14,St. Louis Blues,1,Columbus Blue Jackets,2,,
2012-02-14,Toronto Maple Leafs,1,Calgary Flames,5,,
2012-02-14,Dallas Stars,1,Detroit Red Wings,3,,
2012-02-14,Anaheim Ducks,2,Minnesota Wild,1,,
2012-02-14,Chicago Blackhawks,2,Nashville Predators,3,,
2012-02-14,Ottawa Senators,4,Tampa Bay Lightning,0,,
2012-02-14,New York Islanders,3,Winnipeg Jets,1,,
2012-02-15,Toronto Maple Leafs,4,Edmonton Oilers,3,OT,
2012-02-15,Ottawa Senators,6,Florida Panthers,2,,
2012-02-15,Boston Bruins,4,Montreal Canadiens,3,SO,
